market,symbol,name,reason,updatedAt
us,AAOI,Applied Optoelectronics,holding_added,2026-06-01T20:05:20
us,AAPL,Apple,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,ACHR,Archer Aviation,candidate_universe|user_added,2026-06-01T19:32:10
us,AI,C3.ai,candidate_universe,2026-06-01T19:32:10
us,ALAB,Astera Labs,candidate_universe|user_added,2026-06-01T19:32:10
us,AMAT,Applied Materials,candidate_universe,2026-06-01T19:32:10
us,AMD,AMD,candidate_universe|user_added,2026-06-01T19:32:10
us,AMZN,Amazon,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,ANET,Arista Networks,candidate_universe|user_added,2026-06-01T19:32:10
us,APP,AppLovin,candidate_universe|user_added,2026-06-01T19:32:10
us,ARM,Arm,candidate_universe|user_added,2026-06-01T19:32:10
us,ASML,ASML,candidate_universe,2026-06-01T19:32:10
us,ASTS,AST SpaceMobile,holding_added,2026-06-01T20:05:20
us,AVAV,AeroVironment,candidate_universe|user_added,2026-06-01T19:32:10
us,AVGO,AVGO,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,BBAI,BigBear.ai,candidate_universe,2026-06-01T19:32:10
us,BMNR,비트마인 이머전 테크놀로지스,holding_added,2026-06-01T20:05:20
us,BTC-USD,Bitcoin,candidate_universe|user_added,2026-06-01T19:32:10
us,CAT,Caterpillar,holding_added,2026-06-01T20:05:20
us,CAVA,Cava,candidate_universe,2026-06-01T19:32:10
us,CEG,Constellation Energy,candidate_universe|user_added,2026-06-01T19:32:10
us,CELH,Celsius,candidate_universe,2026-06-01T19:32:10
us,COHR,COHR,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,COIN,Coinbase,candidate_universe|user_added,2026-06-01T19:32:10
us,COST,Costco,candidate_universe,2026-06-01T19:32:10
us,CRCL,써클 인터넷 그룹,holding_added,2026-06-01T20:05:20
us,CRDO,Credo Technology,candidate_universe|user_added,2026-06-01T19:32:10
us,CRM,Salesforce,candidate_universe,2026-06-01T19:32:10
us,CRWD,CrowdStrike,candidate_universe,2026-06-01T19:32:10
us,DDOG,Datadog,candidate_universe|user_added,2026-06-01T19:32:10
us,DELL,Dell,candidate_universe,2026-06-01T19:32:10
us,DRAM,DRAM,manual_refresh_one,2026-06-04T01:25:38
us,DUOL,Duolingo,candidate_universe|user_added,2026-06-01T19:32:10
us,ELF,e.l.f. Beauty,candidate_universe,2026-06-01T19:32:10
us,ESTC,Elastic,candidate_universe,2026-06-01T19:32:10
us,ETN,Eaton,candidate_universe|user_added,2026-06-01T19:32:10
us,EXAS,Exact Sciences,candidate_universe,2026-06-01T19:32:10
us,GE,GE Aerospace,candidate_universe|user_added,2026-06-01T19:32:10
us,GLD,Gold ETF,candidate_universe,2026-06-01T19:32:10
us,GOOGL,GOOGL,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,HIMS,Hims & Hers,candidate_universe|user_added,2026-06-01T19:32:10
us,HOOD,Robinhood,candidate_universe|user_added,2026-06-01T19:32:10
us,HPE,HPE,candidate_universe,2026-06-01T19:32:10
us,HUT,Hut 8,candidate_universe|user_added,2026-06-01T19:32:10
us,IBIT,iShares Bitcoin Trust,candidate_universe,2026-06-01T19:32:10
us,INTC,Intel,holding_added,2026-06-01T20:05:20
us,IONQ,IonQ,candidate_universe|user_added,2026-06-01T19:32:10
us,IREN,IREN,candidate_universe|user_added,2026-06-01T19:32:10
us,ISRG,Intuitive Surgical,candidate_universe,2026-06-01T19:32:10
us,IWM,Russell 2000 ETF,candidate_universe|user_added,2026-06-01T19:32:10
us,JOBY,Joby Aviation,candidate_universe|user_added,2026-06-01T19:32:10
us,KLAC,KLA,candidate_universe,2026-06-01T19:32:10
us,KTOS,Kratos Defense,candidate_universe|user_added,2026-06-01T19:32:10
us,LITE,Lumentum,holding_added,2026-06-01T20:05:20
us,LLY,Eli Lilly,candidate_universe,2026-06-01T19:32:10
us,LRCX,Lam Research,candidate_universe,2026-06-01T19:32:10
us,LUNR,Intuitive Machines,candidate_universe|user_added,2026-06-01T19:32:10
us,MARA,MARA Holdings,candidate_universe,2026-06-01T19:32:10
us,MDB,MongoDB,candidate_universe|user_added,2026-06-01T19:32:10
us,MELI,MercadoLibre,candidate_universe,2026-06-01T19:32:10
us,META,META,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,MPWR,Monolithic Power,candidate_universe,2026-06-01T19:32:10
us,MRVL,MRVL,manual_refresh_one,2026-06-04T01:25:37
us,MSFT,Microsoft,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,MSTR,MicroStrategy,candidate_universe,2026-06-01T19:32:10
us,MU,MU,manual_refresh_one,2026-06-04T01:25:37
us,NBIS,네비우스 그룹,holding_added,2026-06-01T20:05:20
us,NET,Cloudflare,candidate_universe|user_added,2026-06-01T19:32:10
us,NOW,ServiceNow,candidate_universe,2026-06-01T19:32:10
us,NVDA,NVDA,candidate_universe|recommendation|user_added,2026-06-01T19:32:10
us,NVO,Novo Nordisk,candidate_universe,2026-06-01T19:32:10
us,OKLO,Oklo,candidate_universe|user_added,2026-06-01T19:32:10
us,OKTA,Okta,candidate_universe,2026-06-01T19:32:10
us,ON,ON Semiconductor,candidate_universe,2026-06-01T19:32:10
us,ORCL,Oracle,candidate_universe,2026-06-01T19:32:10
us,PANW,Palo Alto Networks,candidate_universe,2026-06-01T19:32:10
us,PATH,UiPath,candidate_universe,2026-06-01T19:32:10
us,PLTR,Palantir,candidate_universe|user_added,2026-06-01T19:32:10
us,QQQ,Nasdaq 100 ETF,candidate_universe|user_added,2026-06-01T19:32:10
us,QUBT,Quantum Computing,candidate_universe|user_added,2026-06-01T19:32:10
us,RDDT,Reddit,candidate_universe|user_added,2026-06-01T19:32:10
us,RGTI,Rigetti,candidate_universe|user_added,2026-06-01T19:32:10
us,RIOT,Riot Platforms,candidate_universe,2026-06-01T19:32:10
us,RKLB,Rocket Lab,holding_added,2026-06-01T20:05:20
us,RXRX,Recursion,candidate_universe,2026-06-01T19:32:10
us,S,SentinelOne,candidate_universe,2026-06-01T19:32:10
us,SE,Sea Limited,candidate_universe,2026-06-01T19:32:10
