ticker,sector,theme,type,risk_level
ASTS,전기차/성장주,위성통신·우주,speculative,매우 높음
BMNR,가상자산,비트코인·가상자산·채굴,speculative,매우 높음
CAT,산업재,산업재·인프라,cyclical,중
CRCL,가상자산,스테이블코인·핀테크,speculative,매우 높음
INTC,반도체/AI,반도체 턴어라운드,turnaround,높음
LITE,반도체/AI,광통신·AI 인프라,growth,높음
NBIS,클라우드/소프트웨어,AI 데이터센터·네오클라우드,speculative,매우 높음
RKLB,전기차/성장주,우주항공,speculative,매우 높음
SNDK,반도체/AI,스토리지·메모리,cyclical,높음
AAOI,반도체/AI,광통신·데이터센터,growth,높음
SIMO,반도체/AI,반도체 컨트롤러,growth,높음
131970,반도체,반도체·테스트,watch,중
222800,반도체,반도체·PCB,watch,중
AAPL,빅테크,디바이스·서비스,core,중
MSFT,빅테크,클라우드·AI,core,중
