code,sector,source
005930,Semiconductor,기본수동매핑
000660,Semiconductor,기본수동매핑
373220,Battery/EV,기본수동매핑
006400,Battery/EV,기본수동매핑
247540,Battery/EV,기본수동매핑
086520,Battery/EV,기본수동매핑
047810,Defense/Aerospace,기본수동매핑
012450,Defense/Aerospace,기본수동매핑
079550,Defense/Aerospace,기본수동매핑
010140,Shipbuilding,기본수동매핑
329180,Shipbuilding,기본수동매핑
009540,Shipbuilding,기본수동매핑
042660,Shipbuilding,기본수동매핑
267260,Power/Utility,기본수동매핑
010120,Power/Utility,기본수동매핑
015760,Power/Utility,기본수동매핑
005380,Auto,기본수동매핑
000270,Auto,기본수동매핑
012330,Auto,기본수동매핑
006360,Construction,기본수동매핑
047040,Construction,기본수동매핑
028050,Construction,기본수동매핑
