prediction_id,date,market,ticker,predicted_direction,actual_direction,confidence_score,expected_return,actual_return,hit_or_miss,error_size,simulated_pnl,max_drawdown,error_reason,correction_needed,created_at
3f08599c,2026-05-18,한국주식,042660,down,flat,0.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
b601a80f,2026-05-18,한국주식,277810,down,flat,0.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
4bef4368,2026-05-18,한국주식,454910,flat,flat,0.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
29c5e17a,2026-05-18,한국주식,108490,down,flat,0.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
4bad9cf6,2026-05-18,한국주식,090360,down,flat,0.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
a4bf43f3,2026-05-18,한국주식,000270,down,flat,0.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
8e345938,2026-05-18,한국주식,012330,down,flat,0.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
ba70de44,2026-05-18,한국주식,035420,down,flat,14.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
995885ac,2026-05-18,한국주식,035720,down,flat,6.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
5960fab8,2026-05-18,한국주식,018260,down,flat,6.0000,,0.000000,miss,,,,예측 당시 주의사유 존재,주의사유 존재 시 다음 후보도 관망 우위 유지 / 저품질 예측은 추천수량 0 또는 확인 후보로 제한,2026-05-18T07:56:23
