market,rank,name,ticker,price,change_pct,trading_value,news_count,interest_score
미국,1,NVIDIA,NVDA,925.1,2.4,샘플 38.2B,12,96
미국,2,Tesla,TSLA,178.3,-1.2,샘플 24.1B,9,88
미국,3,Palantir,PLTR,25.4,3.1,샘플 8.7B,6,82
한국,1,SK하이닉스,000660.KS,185000,1.8,샘플 1.2조,8,91
한국,2,삼성전자,005930.KS,78000,0.6,"샘플 9,800억",7,85
한국,3,HD한국조선해양,009540.KS,132000,2.2,"샘플 3,100억",4,76
홍콩,1,Tencent,0700.HK,392.2,0.9,샘플 6.4B,5,74
중국,1,BYD,002594.SZ,231.4,-0.7,샘플 4.9B,4,70
일본,1,Toyota,7203.T,3250,1.1,샘플 5.1B,3,68
영국,1,ARM,ARM,121.6,1.9,샘플 2.7B,5,79
