종목코드,종목명,시장,수급기준,현재가/직전종가,등락률,거래량,거래대금,수급점수,해석,다음 행동,데이터출처
SNOW,SNOW,미국주식,거래대금·거래량 보강,171.71,4.55,0.0,0.0,54.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
MDB,MDB,미국주식,거래대금·거래량 보강,343.86,4.2,0.0,0.0,54.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
DUOL,DUOL,미국주식,거래대금·거래량 보강,117.74,3.97,0.0,0.0,53.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
CRM,CRM,미국주식,거래대금·거래량 보강,186.15,3.72,0.0,0.0,53.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
PATH,PATH,미국주식,거래대금·거래량 보강,11.06,3.95,0.0,0.0,53.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
OKTA,OKTA,미국주식,거래대금·거래량 보강,88.82,2.04,0.0,0.0,52.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
ESTC,ESTC,미국주식,거래대금·거래량 보강,55.51,2.96,0.0,0.0,52.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
MSFT,MSFT,미국주식,거래대금·거래량 보강,431.07,1.78,0.0,0.0,51.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
APP,APP,미국주식,거래대금·거래량 보강,501.1,1.77,0.0,0.0,51.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
S,S,미국주식,거래대금·거래량 보강,17.76,1.25,0.0,0.0,51.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
NET,NET,미국주식,거래대금·거래량 보강,204.73,1.48,0.0,0.0,51.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,intraday_flow_snapshot-Kang.csv
GOOGL,GOOGL,미국주식,거래대금·거래량 보강,-,0.0,0.0,0.0,50.0,수급값 부족 시 거래량·거래대금 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부 확인,v77_flow_clean_us.csv
