시장,종목코드,종목명,DART상태,PER표시,PBR표시,ROE표시,매출표시,순이익표시,부채비율표시,영업이익률표시,다음 행동,데이터상태설명
한국주식,990,DB하이텍 (000990),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,375500,DL이앤씨 (375500),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,329180,HD현대중공업 (329180),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,403870,HPSP (403870),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,95340,ISC (095340),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,32640,LG유플러스 (032640),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,6260,LS (006260),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,17670,SK텔레콤 (017670),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,660,SK하이닉스 (000660),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,131970,두산테스나 (131970),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,58470,리노공업 (058470),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,5930,삼성전자 (005930),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,222800,심텍 (222800),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
한국주식,12450,한화에어로스페이스 (012450),NO_KEY,-,-,-,-,-,-,-,DART_API_KEY가 인식되지 않습니다.,DART 상태: NO_KEY / corp_code·사업연도·보고서 응답을 확인하세요.
