시장,우선순위,행동,종목,기준가,손절가,목표가,초보자 안내,이유
미국주식,중간,소액/분할만,Alphabet (GOOGL),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Amazon (AMZN),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Caterpillar (CAT),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Circle (CRCL),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Cloudflare (NET),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Costco (COST),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Intel (INTC),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Lumentum (LITE),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,NVIDIA (NVDA),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Nebius (NBIS),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Palantir (PLTR),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Riot Platforms (RIOT),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,SanDisk (SNDK),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Super Micro Computer (SMCI),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,TSMC (TSM),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
미국주식,중간,소액/분할만,Tesla (TSLA),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,DB하이텍 (000990),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,DL이앤씨 (375500),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,HD현대중공업 (329180),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,HPSP (403870),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,ISC (095340),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,LG유플러스 (032640),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,LS (006260),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,SK텔레콤 (017670),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,SK하이닉스 (000660),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,두산테스나 (131970),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,리노공업 (058470),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,삼성전자 (005930),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,심텍 (222800),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
한국주식,중간,소액/분할만,한화에어로스페이스 (012450),-,-,-,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,백테스트 참고
