종목,시장,상태,기준가,손절가,목표가,해석,다음 행동
DB하이텍 (000990),한국주식,직전 장 기준 눌림/관찰,"181,100원","172,045원","199,210원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
DL이앤씨 (375500),한국주식,직전 장 기준 눌림/관찰,"82,200원","78,090원","90,420원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
HD현대중공업 (329180),한국주식,직전 장 기준 눌림/관찰,"680,000원","646,000원","748,000원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
HPSP (403870),한국주식,직전 장 기준 눌림/관찰,"54,700원","51,965원","60,170원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
ISC (095340),한국주식,직전 장 기준 눌림/관찰,"210,000원","199,500원","231,000원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
LG유플러스 (032640),한국주식,직전 장 기준 눌림/관찰,"15,760원","14,972원","17,336원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
LS (006260),한국주식,직전 장 기준 눌림/관찰,"544,000원","516,800원","598,400원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
SK텔레콤 (017670),한국주식,직전 장 기준 눌림/관찰,"102,800원","97,660원","113,080원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
SK하이닉스 (000660),한국주식,직전 장 기준 눌림/관찰,"1,941,000원","1,843,950원","2,135,100원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
두산테스나 (131970),한국주식,직전 장 기준 눌림/관찰,"171,600원","163,020원","188,760원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
리노공업 (058470),한국주식,직전 장 기준 눌림/관찰,"106,500원","101,175원","117,150원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
삼성전자 (005930),한국주식,직전 장 기준 눌림/관찰,"292,500원","277,875원","321,750원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
심텍 (222800),한국주식,직전 장 기준 눌림/관찰,"131,800원","125,210원","144,980원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
한화에어로스페이스 (012450),한국주식,직전 장 기준 눌림/관찰,"1,261,000원","1,197,950원","1,387,100원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
