시장,우선순위,행동,종목,기준가,손절가,목표가,초보자 안내,이유,가격기준
미국주식,중간,소액/분할만,Alphabet (GOOGL),$382.97,$363.82,$421.27,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Amazon (AMZN),$266.32,$253.00,$292.95,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Caterpillar (CAT),$879.89,$835.90,$967.88,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Circle (CRCL),$113.12,$107.46,$124.43,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Cloudflare (NET),$216.17,$205.36,$237.79,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Costco (COST),"$1,028.24",$976.83,"$1,131.06",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Intel (INTC),$119.84,$113.85,$131.82,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Lumentum (LITE),$946.90,$899.56,"$1,041.59",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,NVIDIA (NVDA),$215.33,$204.56,$236.86,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Nebius (NBIS),$214.77,$204.03,$236.25,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Palantir (PLTR),$136.88,$130.04,$150.57,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Riot Platforms (RIOT),$24.49,$23.27,$26.94,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,SanDisk (SNDK),"$1,478.69","$1,404.76","$1,626.56",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Super Micro Computer (SMCI),$35.58,$33.80,$39.14,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,TSMC (TSM),$404.52,$384.29,$444.97,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
미국주식,중간,소액/분할만,Tesla (TSLA),$426.01,$404.71,$468.61,확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · yfinance 직전 종가
