종목코드,종목명,시장,수급기준,현재가/직전종가,등락률,거래량,거래대금,수급점수,해석,다음 행동,데이터출처
AAOI,AAOI,미국주식,거래대금·거래량 보강,-,-,-,-,70.3,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv
AAPL,AAPL,미국주식,거래대금·거래량 보강,-,-,-,-,68.6,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv
ACHR,ACHR,미국주식,거래대금·거래량 보강,-,-,-,-,66.9,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv
ALAB,ALAB,미국주식,거래대금·거래량 보강,-,-,-,-,65.2,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv
XLE,XLE,미국주식,거래대금·거래량 보강,60.73,0.25,0.0,0.0,64.5,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_flow_snapshot-Kang.csv
AMD,AMD,미국주식,거래대금·거래량 보강,-,-,-,-,63.5,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv
DDOG,DDOG,미국주식,거래대금·거래량 보강,210.62,0.86,0.0,0.0,63.3,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_flow_snapshot-Kang.csv
INTC,INTC,미국주식,거래대금·거래량 보강,-,0.0,0.0,0.0,62.6,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v77_flow_clean_us.csv
AMZN,AMZN,미국주식,거래대금·거래량 보강,-,-,-,-,61.8,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv
NVDA,NVDA,미국주식,거래대금·거래량 보강,-,0.0,0.0,0.0,60.9,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,v77_flow_clean_us.csv
ANET,ANET,미국주식,거래대금·거래량 보강,-,-,-,-,60.1,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_data_coverage_diagnosis-Kang.csv
CRWD,CRWD,미국주식,거래대금·거래량 보강,623.59,0.77,0.0,0.0,59.8,외국인·기관 수급값이 부족해 거래대금·거래량 기준으로 보강했습니다.,장 시작 후 거래대금 증가와 기준가 근접 여부를 확인하세요.,intraday_flow_snapshot-Kang.csv
