종목코드,시장,수급 기준,현재가/직전종가,등락률,거래량,거래대금,수급점수,상태,해석,다음 행동
ASTS,미국주식,미국식 수급 대체,$105.88,10.0281,0.0,0.0,60,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
BMNR,미국주식,미국식 수급 대체,$18.89,-3.6716,0.0,0.0,46,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
CAT,미국주식,미국식 수급 대체,$879.91,1.6121,0.0,0.0,51,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
CRCL,미국주식,미국식 수급 대체,$113.14,-1.5146,0.0,0.0,48,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
INTC,미국주식,미국식 수급 대체,$119.86,1.1477,0.0,0.0,51,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
LITE,미국주식,미국식 수급 대체,$946.92,-1.8227,0.0,0.0,48,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
NBIS,미국주식,미국식 수급 대체,$214.79,-2.3371,0.0,0.0,47,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
RKLB,미국주식,미국식 수급 대체,$135.78,8.2344,0.0,0.0,58,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
SNDK,미국주식,미국식 수급 대체,"$1,478.71",-4.1193,0.0,0.0,45,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
AAOI,미국주식,미국식 수급 대체,$181.51,2.6582,0.0,0.0,52,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
SIMO,미국주식,미국식 수급 대체,$276.16,4.8006,0.0,0.0,54,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
NVDA,미국주식,미국식 수급 대체,$215.35,-1.8951,0.0,0.0,48,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
GOOGL,미국주식,미국식 수급 대체,$382.99,-1.2047,0.0,0.0,48,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
TSLA,미국주식,미국식 수급 대체,$426.03,1.9576,0.0,0.0,51,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
PLTR,미국주식,미국식 수급 대체,$136.90,-0.3748,0.0,0.0,49,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
IONQ,미국주식,미국식 수급 대체,$63.66,8.0998,0.0,0.0,58,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
LUNR,미국주식,미국식 수급 대체,$38.27,11.7699,0.0,0.0,61,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
OKLO,미국주식,미국식 수급 대체,$65.90,1.2444,0.0,0.0,51,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
HUT,미국주식,미국식 수급 대체,$105.92,0.627,0.0,0.0,50,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
IREN,미국주식,미국식 수급 대체,$56.85,-2.0841,0.0,0.0,47,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
QQQ,미국주식,미국식 수급 대체,$717.56,0.4269,0.0,0.0,50,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
SOXX,미국주식,미국식 수급 대체,$537.35,2.4089,0.0,0.0,52,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
BTC,미국주식,미국식 수급 대체,$33.53,0.0,0.0,0.0,50,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
IWM,미국주식,미국식 수급 대체,$285.14,0.9381,0.0,0.0,50,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
AMD,미국주식,미국식 수급 대체,$467.53,3.9903,0.0,0.0,53,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
AVGO,미국주식,미국식 수급 대체,$414.16,-0.0989,0.0,0.0,49,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
MU,미국주식,미국식 수급 대체,$751.02,-1.4539,0.0,0.0,48,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
MRVL,미국주식,미국식 수급 대체,$196.35,2.9682,0.0,0.0,52,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
ARM,미국주식,미국식 수급 대체,$306.53,2.7831,0.0,0.0,52,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
SMCI,미국주식,미국식 수급 대체,$35.59,6.3658,0.0,0.0,56,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
ANET,미국주식,미국식 수급 대체,$154.05,3.6745,0.0,0.0,53,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
ALAB,미국주식,미국식 수급 대체,$306.90,3.0419,0.0,0.0,53,직전 장 기준 참고,미장은 외국인/기관 수급 대신 거래량·모멘텀·호가 대체 지표로 봅니다.,장 시작 후 거래량 증가와 기준가 근접 여부 확인
