종목,재무상태,가치평가,KPI,초보자 해석,다음 행동,출처
삼성전자 (005930),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 29.94,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
SK하이닉스 (000660),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 45.95,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
한미반도체 (042700),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 117.82,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
이수페타시스 (007660),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 170.53,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
HPSP (403870),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 19.94,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
리노공업 (058470),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 8.3,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
ISC (095340),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 15.85,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
하나마이크론 (067310),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 309.16,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
주성엔지니어링 (036930),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 150.37,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
DB하이텍 (000990),확인 가능,PER - / PBR -,ROE - / 성장률 - / 부채 133.36,"재무가 확인되는 종목은 단기 차트와 함께 보되, 값 부족 종목은 추격매수를 피하고 수급·가격 기준을 더 엄격히 보세요.",재무값이 비어 있으면 API 키와 종목코드 매핑을 확인하세요.,reports/fundamental_cache.csv
