시장,종목,종목코드,내러티브,시장 배경,주의
미국주식,Alphabet (GOOGL),GOOGL,"Alphabet (GOOGL)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Amazon (AMZN),AMZN,"Amazon (AMZN)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Caterpillar (CAT),CAT,"Caterpillar (CAT)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Circle (CRCL),CRCL,"Circle (CRCL)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Cloudflare (NET),NET,"Cloudflare (NET)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Costco (COST),COST,"Costco (COST)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Intel (INTC),INTC,"Intel (INTC)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Lumentum (LITE),LITE,"Lumentum (LITE)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,NVIDIA (NVDA),NVDA,"NVIDIA (NVDA)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Nebius (NBIS),NBIS,"Nebius (NBIS)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Palantir (PLTR),PLTR,"Palantir (PLTR)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
미국주식,Riot Platforms (RIOT),RIOT,"Riot Platforms (RIOT)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
