시장,우선순위,행동,종목,기준가,손절가,목표가,초보자 안내,이유
미국주식,높음,신규매수 가능 후보,Alphabet (GOOGL),$392.46,$386.57,$431.71,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,GOOGL: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=2로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,DELL (DELL),$228.40,$221.03,$251.24,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,DELL: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,Energy ETF (XLE),$60.14,$58.54,$66.15,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,ENERGY ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,Nasdaq 100 ETF (QQQ),$686.62,$678.38,$755.28,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,NASDAQ 100 ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,ON Semiconductor (ON),$103.33,$100.01,$113.66,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,ON SEMICONDUCTOR: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,S&P 500 ETF (SPY),$726.98,$718.25,$799.68,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,S&P 500 ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,Seagate (STX),$714.29,$688.60,$785.72,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,SEAGATE: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,Semiconductor ETF (SOXX),$478.24,$465.43,$526.06,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,SEMICONDUCTOR ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=2로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,VanEck Semiconductor ETF (SMH),$531.16,$520.90,$584.28,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,VANECK SEMICONDUCTOR ETF: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=3로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,WALMART (WMT),$131.82,$130.24,$145.00,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,WALMART: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
미국주식,높음,신규매수 가능 후보,Western Digital (WDC),$441.89,$424.10,$486.08,현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,WESTERN DIGITAL: 손익비·차트 위치는 참고 가능하나 거래량 확인 필요; 유사 조건 n=0로 기대값은 참고 수준
한국주식,높음,신규매수 가능 후보,DB하이텍 (000990),"161,980원","152,969원","197,445원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5
한국주식,높음,신규매수 가능 후보,HD현대중공업 (329180),"631,997원","596,357원","727,074원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5
한국주식,높음,신규매수 가능 후보,ISC (95340),"198,016원","188,026원","223,437원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,현재가가 우선진입가 대비 +6.1% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만
한국주식,높음,신규매수 가능 후보,LG유플러스 (032640),"15,133원","14,787원","15,790원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +3.69%, 영업이익 확인 필요."
한국주식,높음,신규매수 가능 후보,LIG넥스원 (79550),"818,085원","785,083원","899,894원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,현재가가 우선진입가 대비 +5.4% (한도 5%) / 유사 조건 표본 부족: 기대값은 참고만
한국주식,높음,신규매수 가능 후보,LS (006260),"501,331원","459,284원","581,627원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5
한국주식,높음,신규매수 가능 후보,POSCO홀딩스 (5490),"429,760원","414,621원","472,736원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,유사 조건 표본 부족: 기대값은 참고만 / 손익비 기준 미통과 / rr < 1.5
한국주식,높음,신규매수 가능 후보,SK (034730),"526,383원","502,637원","593,691원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,"DART 2023~2025년 재무 반영. 매출 CAGR +7.92%, 영업이익 확인 필요."
한국주식,높음,신규매수 가능 후보,대덕전자 (353200),"125,313원","118,424원","147,816원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,현재가가 우선진입가 대비 +6.1% (한도 5%)
한국주식,높음,신규매수 가능 후보,두산에너빌리티 (034020),"99,473원","95,565원","106,477원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,손익비 기준 미통과 / rr < 1.5
한국주식,높음,신규매수 가능 후보,두산에너빌리티 (34020),"103,453원","99,665원","113,798원",현재가가 기준가 근처이고 손절가를 지킬 수 있을 때만 분할 매수를 검토합니다.,손익비 기준 미통과 / rr < 1.5
