시장,종목코드,종목명,데이터상태,종합점수,가치점수,성장점수,안정성점수,PER,PBR,ROE,매출,영업이익,순이익,핵심요약,다음행동
<<<<<<< HEAD
미국주식,SNDK,SanDisk,정상,85.1,74.0,100.0,85.0,48.59,0.75,42.33,-,-,-,"가치 74.0, 성장 100, 안정성 85.0 기준으로 종합 85.1점입니다.",관심 유지 · 눌림 확인
미국주식,NBIS,Nebius,정상,68.8,52.0,75.0,85.0,66.14,4.61,16.01,-,-,-,"가치 52.0, 성장 75.0, 안정성 85.0 기준으로 종합 68.8점입니다.",관심 유지 · 눌림 확인
미국주식,CRCL,Circle,정상,54.9,33.0,66.1,73.0,-,5.61,-2.6,-,-,-,"가치 33.0, 성장 66.1, 안정성 73.0 기준으로 종합 54.9점입니다.",무리한 추격 금지
미국주식,BMNR,BMNR,정상,62.5,55.0,50.0,85.0,30.85,0.87,-116.38,-,-,-,"가치 55.0, 성장 50.0, 안정성 85.0 기준으로 종합 62.5점입니다.",무리한 추격 금지
=======
미국주식,NVDA,NVIDIA,정상,81.1,64.0,100.0,85.0,32.65,28.81,111.66,-,-,-,"가치 64.0, 성장 100, 안정성 85.0 기준으로 종합 81.1점입니다.",관심 유지 · 눌림 확인
미국주식,GOOGL,Alphabet,정상,77.7,64.0,88.7,85.0,28.96,9.1,38.98,-,-,-,"가치 64.0, 성장 88.7, 안정성 85.0 기준으로 종합 77.7점입니다.",관심 유지 · 눌림 확인
미국주식,MSFT,Microsoft,정상,74.2,64.0,88.9,73.0,24.83,10.76,33.13,-,-,-,"가치 64.0, 성장 88.9, 안정성 73.0 기준으로 종합 74.2점입니다.",관심 유지 · 눌림 확인
미국주식,AAPL,Apple,정상,66.4,55.0,85.0,63.0,37.0,50.98,146.69,-,-,-,"가치 55.0, 성장 85.0, 안정성 63.0 기준으로 종합 66.4점입니다.",관심 유지 · 눌림 확인
미국주식,AMZN,Amazon,정상,68.2,64.0,69.0,73.0,31.55,6.0,23.34,-,-,-,"가치 64.0, 성장 69.0, 안정성 73.0 기준으로 종합 68.2점입니다.",관심 유지 · 눌림 확인
>>>>>>> 406077dbd4079231d812b3e19dce6fc7291c4dce
